abbreviation,SEASON,PLAYER
ATL,2021,Delon Wright
ATL,2021,Jalen Johnson
ATL,2021,Sharife Cooper
ATL,2021,Kevin Huerter
ATL,2021,Skylar Mays
ATL,2021,Lou Williams
ATL,2021,Timothe Luwawu-Cabarrot
ATL,2021,Danilo Gallinari
ATL,2021,Gorgui Dieng
ATL,2021,Trae Young
ATL,2021,De'Andre Hunter
ATL,2021,Bogdan Bogdanovic
ATL,2021,Clint Capela
ATL,2021,Onyeka Okongwu
ATL,2021,Solomon Hill
ATL,2021,John Collins
ATL,2021,Cam Reddish
BOS,2021,Jayson Tatum
BOS,2021,Jaylen Brown
BOS,2021,Josh Richardson
BOS,2021,Romeo Langford
BOS,2021,Payton Pritchard
BOS,2021,Grant Williams
BOS,2021,Enes Kanter
BOS,2021,Jabari Parker
BOS,2021,Aaron Nesmith
BOS,2021,Bruno Fernando
BOS,2021,Sam Hauser
BOS,2021,Marcus Smart
BOS,2021,Juancho Hernangomez
BOS,2021,Al Horford
BOS,2021,Robert Williams III
BOS,2021,Dennis Schroder
BOS,2021,Brodric Thomas
CLE,2021,Kevin Love
CLE,2021,Collin Sexton
CLE,2021,Ricky Rubio
CLE,2021,Evan Mobley
CLE,2021,RJ Nembhard Jr.
CLE,2021,Kevin Pangos
CLE,2021,Lamar Stevens
CLE,2021,Dylan Windler
CLE,2021,Darius Garland
CLE,2021,Cedi Osman
CLE,2021,Ed Davis
CLE,2021,Lauri Markkanen
CLE,2021,Jarrett Allen
CLE,2021,Dean Wade
CLE,2021,Isaac Okoro
CLE,2021,Denzel Valentine
CLE,2021,Tacko Fall
NOP,2021,Didi Louzada
NOP,2021,Zion Williamson
NOP,2021,Josh Hart
NOP,2021,Devonte' Graham
NOP,2021,Herbert Jones
NOP,2021,Nickeil Alexander-Walker
NOP,2021,Naji Marshall
NOP,2021,Willy Hernangomez
NOP,2021,Jaxson Hayes
NOP,2021,Kira Lewis Jr.
NOP,2021,Brandon Ingram
NOP,2021,Jose Alvarado
NOP,2021,Jonas Valanciunas
NOP,2021,Trey Murphy III
NOP,2021,Tomas Satoransky
NOP,2021,Daulton Hommes
NOP,2021,Garrett Temple
CHI,2021,Coby White
CHI,2021,Lonzo Ball
CHI,2021,Devon Dotson
CHI,2021,Derrick Jones Jr.
CHI,2021,Alex Caruso
CHI,2021,Troy Brown Jr.
CHI,2021,Zach LaVine
CHI,2021,Nikola Vucevic
CHI,2021,DeMar DeRozan
CHI,2021,Ayo Dosunmu
CHI,2021,Tony Bradley
CHI,2021,Marko Simonovic
CHI,2021,Matt Thomas
CHI,2021,Alize Johnson
CHI,2021,Javonte Green
CHI,2021,Tyler Cook
CHI,2021,Patrick Williams
DAL,2021,JaQuori McLaughlin
DAL,2021,Eugene Omoruyi
DAL,2021,Sterling Brown
DAL,2021,Trey Burke
DAL,2021,Kristaps Porzingis
DAL,2021,Dwight Powell
DAL,2021,Josh Green
